CompanyID,CIK,AddedDate,CloseDate,DaysToClose,WeeksToClose,CompanyStatus,Platform,FundraisingType,EquityType,Industry,Valuation,MinimumInvestment,RoundMinimum,RoundMaximum,Raised,PercentOfGoal,RaisedAmountBucket,SuccessStatus,Investors,CompanyName
361,1721827,2017-11-22,2018-12-31,404,57.7,Successful Raise,StartEngine,Crowdfunding,Equity,Other,,$100,"$10,000","$1,070,000","$127,280",11.9%,#NAME?,#NAME?,339,Sun Fund
360,1722986,2017-11-22,2018-02-01,71,10.1,Successful Raise,StartEngine,Crowdfunding,Equity,Sports,,$260,"$10,000","$107,000","$44,590",41.7%,#NAME?,#NAME?,31,15th Round Boxing
359,1660948,2017-11-22,2018-02-19,89,12.7,Failed To Raise,StartEngine,Crowdfunding,Equity,Other,,$147,"$10,000","$96,000","$2,149",2.2%,#NAME?,#NAME?,2,BOXX
358,1723324,2017-11-22,2018-01-31,70,10.0,Successful Raise,StartEngine,Crowdfunding,Equity,Sports,,$500,"$100,000","$500,000","$148,000",29.6%,#NAME?,#NAME?,177,Little Red Feather
357,1721835,2017-11-22,2018-02-16,86,12.3,Failed To Raise,StartEngine,Crowdfunding,Equity,Consumer Products & Services,,$500,"$10,000","$107,000",$0,0.0%,#NAME?,#NAME?,0,Kerrington Home
356,1720044,2017-11-22,2017-11-25,3,0.4,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$295,"$10,000","$1,070,000","$1,070,000",100.0%,#NAME?,#NAME?,"1,553",Waverly Labs
355,1719970,2017-11-22,2018-03-31,129,18.4,Successful Raise,TruCrowd,Crowdfunding,Other Security Type,Technology/Software,,"$1,000","$20,000","$1,070,000","$302,458",28.3%,#NAME?,#NAME?,133,Digital Currency Growth
354,1719488,2017-11-22,2018-02-19,89,12.7,Successful Raise,NextSeed,Crowdfunding,Debt,Food & Beverage,,$100,"$100,000","$300,000","$191,600",63.9%,#NAME?,#NAME?,238,619 Distillery & Tasting Room
371,1720885,2017-11-24,2018-05-11,168,24.0,Failed To Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$111,"$111,111","$333,333","$4,260",1.3%,#NAME?,#NAME?,14,Pillow
370,1722578,2017-11-24,2018-06-30,218,31.1,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$50,000","$100,000","$58,125",58.1%,#NAME?,#NAME?,128,Industry Water Filtration
369,1720899,2017-11-24,2018-04-30,157,22.4,Successful Raise,Wefunder,Crowdfunding,Debt,"Medical, Health and Well Being",,$100,"$150,000","$400,000","$170,592",42.6%,#NAME?,#NAME?,74,EPIC Global Franchising
368,1722458,2017-11-24,2018-05-18,175,25.0,Failed To Raise,Wefunder,Crowdfunding,Other Security Type,Technology/Software,,$100,"$400,000","$750,000","$1,350",0.2%,#NAME?,#NAME?,7,Rogue Chimera Films
367,1717408,2017-11-24,2017-12-31,37,5.3,Failed To Raise,Republic,Crowdfunding,SAFE/CN,Technology/Software,,$50,"$25,000","$1,070,000","$5,055",0.5%,#NAME?,#NAME?,32,EvaBot
366,1690447,2017-11-24,2018-02-18,86,12.3,Failed To Raise,Republic,Crowdfunding,SAFE/CN,Technology/Software,,$50,"$25,000","$1,070,000","$16,142",1.5%,#NAME?,#NAME?,100,Owlized
365,1690909,2017-11-24,2018-01-31,68,9.7,Successful Raise,Republic,Crowdfunding,SAFE/CN,Fashion,,$50,"$25,000","$400,000","$72,150",18.0%,#NAME?,#NAME?,160,Ellison Eyewear
380,1707732,2017-11-29,2018-02-26,89,12.7,Failed To Raise,StartEngine,Crowdfunding,Equity,Consumer Products & Services,,$125,"$10,000","$107,000","$3,400",3.2%,#NAME?,#NAME?,8,BIKEKINI
379,1721304,2017-11-29,2018-02-26,89,12.7,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$500,"$10,000","$1,070,000","$29,660",2.8%,#NAME?,#NAME?,17,Emergent Solar Solutions
378,1722030,2017-11-29,2018-11-30,366,52.3,Successful Raise,StartEngine,Crowdfunding,Other Security Type,Technology/Software,,$100,"$10,000","$374,100","$169,500",45.3%,#NAME?,#NAME?,412,Cryptid
377,1723233,2017-11-29,2018-02-21,84,12.0,Failed To Raise,StartEngine,Crowdfunding,SAFE/CN,Fashion,,$250,"$10,000","$107,000","$2,250",2.1%,#NAME?,#NAME?,5,Kordas
376,1722316,2017-11-29,2018-04-22,144,20.6,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$250,"$10,000","$1,000,000","$28,650",2.9%,#NAME?,#NAME?,53,Biotech Restorations
375,1721305,2017-11-29,2018-02-28,91,13.0,Successful Raise,StartEngine,Crowdfunding,Equity,Technology/Software,,$100,"$10,000","$1,070,000","$874,667",81.7%,#NAME?,#NAME?,"1,120",Jinglz
374,1654348,2017-11-29,2018-07-25,238,34.0,Successful Raise,StartEngine,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$10,000","$1,070,000","$232,450",21.7%,#NAME?,#NAME?,609,Zen
373,1517121,2017-11-29,2018-05-03,155,22.1,Failed To Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$100,"$150,000","$1,070,000","$50,195",4.7%,#NAME?,#NAME?,80,Fireman's Brew
372,1722313,2017-11-29,2018-04-30,152,21.7,Successful Raise,Wefunder,Crowdfunding,SAFE/CN,Technology/Software,,$100,"$50,000","$1,070,000","$179,902",16.8%,#NAME?,#NAME?,170,Loveseat
381,1724085,2017-12-01,2018-02-14,75,10.7,Failed To Raise,StartEngine,Crowdfunding,Equity,Other,,$100,"$10,000","$107,000","$9,700",9.1%,#NAME?,#NAME?,26,The Green Retrofit
387,1723843,2017-12-06,2018-06-15,191,27.3,Successful Raise,Wefunder,Crowdfunding,Equity,Food & Beverage,,$500,"$50,000","$1,070,000","$591,500",55.3%,#NAME?,#NAME?,670,Black Momma Tea & Cafe
386,1715007,2017-12-06,2018-02-17,73,10.4,Successful Raise,Republic,Crowdfunding,SAFE/CN,"Medical, Health and Well Being",,$50,"$50,000","$1,070,000","$58,475",5.5%,#NAME?,#NAME?,89,FreshMynd
385,1718354,2017-12-06,2018-01-15,40,5.7,Successful Raise,Republic,Crowdfunding,SAFE/CN,Consumer Products & Services,,$25,"$25,000","$1,070,000","$33,860",3.2%,#NAME?,#NAME?,171,Green Piñata
384,1719882,2017-12-06,2018-01-26,51,7.3,Successful Raise,Republic,Crowdfunding,SAFE/CN,Technology/Software,,$25,"$25,000","$1,070,000","$162,475",15.2%,#NAME?,#NAME?,348,mIQroTech
383,1720822,2017-12-06,2018-01-31,56,8.0,Successful Raise,Republic,Crowdfunding,SAFE/CN,Fashion,,$100,"$50,000","$535,000","$104,948",19.6%,#NAME?,#NAME?,185,SilkRoll
382,1722793,2017-12-06,2019-04-30,510,72.9,Successful Raise,Netcapital,Crowdfunding,Equity,Consumer Products & Services,,$100,"$10,000","$1,070,000","$415,200",38.8%,#NAME?,#NAME?,3,Subba Media
